tag_id,division,sub_division,track,major,minor,next_tag_up,next_tag_down,Chainage
440,BD,BD_EB_B1,1,935,30,,441,935.3
441,BD,BD_EB_B1,1,933,94,440,442,933.94
442,BD,BD_EB_B1,1,930,71,441,443,930.71
443,BD,BD_EB_B1,1,928,52,442,444,928.52
444,BD,BD_EB_B1,1,925,39,443,445,925.39
445,BD,BD_EB_B1,1,921,64,444,446,921.64
446,BD,BD_EB_B1,1,917,84,445,447,917.84
447,BD,BD_EB_B1,1,914,1,446,448,914.01
448,BD,BD_EB_B1,1,910,57,447,449,910.57
449,BD,BD_EB_B1,1,907,20,448,450,907.2
450,BD,BD_EB_B1,1,904,4,449,451,904.04
451,BD,BD_EB_B1,1,900,93,450,452,900.93
452,BD,BD_EB_B1,1,894,81,451,852,894.81
852,BD,BD_EB_B1,1,891,61,452,453,891.61
453,BD,BD_EB_B1,1,888,43,852,454,888.43
454,BD,BD_EB_B1,1,884,80,453,455,884.8
455,BD,BD_EB_B1,1,881,24,454,456,881.24
456,BD,BD_EB_B1,1,877,19,455,457,877.19
457,BD,BD_EB_B1,1,873,22,456,458,873.22
458,BD,BD_EB_B1,1,868,59,457,459,868.59
459,BD,BD_EB_B1,1,864,3,458,460,864.03
460,BD,BD_EB_B1,1,860,40,459,461,860.4
461,BD,BD_EB_B1,1,856,83,460,462,856.83
462,BD,BD_EB_B1,1,850,27,461,463,850.27
463,BD,BD_EB_B1,1,846,64,462,464,846.64
464,BD,BD_EB_B1,1,844,78,463,465,844.78
465,BD,BD_EB_B1,1,844,57,464,466,844.57
466,BD,BD_EB_B1,1,843,59,465,467,843.59
467,BD,BD_EB_B1,1,842,92,466,3923,842.92
3923,BD,BD_EB_B1,1,840,90,467,470,840.9
470,BD,BD_EB_B1,1,840,36,3923,471,840.36
471,BD,BD_EB_B1,1,839,26,470,472,839.26
472,BD,BD_EB_B1,1,834,53,471,473,834.53
473,BD,BD_EB_B1,1,830,83,472,474,830.83
474,BD,BD_EB_B1,1,827,45,473,475,827.45
475,BD,BD_EB_B1,1,824,3,474,476,824.03
476,BD,BD_EB_B1,1,819,16,475,477,819.16
477,BD,BD_EB_B1,1,814,36,476,849,814.36
849,BD,BD_EB_B1,1,811,32,477,478,811.32
478,BD,BD_EB_B1,1,808,28,849,848,808.28
848,BD,BD_EB_B1,1,805,27,478,479,805.27
479,BD,BD_EB_B1,1,802,26,848,480,802.26
480,BD,BD_EB_B1,1,797,8,479,481,797.08
481,BD,BD_EB_B1,1,791,96,480,876,791.96
876,BD,BD_EB_B1,1,789,25,481,482,789.25
482,BD,BD_EB_B1,1,786,55,876,483,786.55
483,BD,BD_EB_B1,1,785,31,482,484,785.31
484,BD,BD_EB_B1,1,783,67,483,485,783.67
485,BD,BD_EB_B1,1,783,31,484,486,783.31
486,BD,BD_EB_B1,1,779,76,485,487,779.76
487,BD,BD_EB_B1,740.72,776,64,486,488,776.64
488,BD,BD_EB_B1,1,772,69,487,489,772.69
489,BD,BD_EB_B1,1,768,46,488,490,768.46
490,BD,BD_EB_B1,1,764,29,489,491,764.29
491,BD,BD_EB_B1,1,759,66,490,492,759.66
492,BD,BD_EB_B1,1,755,9,491,493,755.09
493,BD,BD_EB_B1,1,751,76,492,494,751.76
494,BD,BD_EB_B1,1,748,49,493,495,748.49
495,BD,BD_EB_B1,1,743,49,494,496,743.49
496,BD,BD_EB_B1,1,738,67,495,497,738.67
497,BD,BD_EB_B1,1,732,96,496,498,732.96
498,BD,BD_EB_B1,1,728,35,497,499,728.35
499,BD,BD_EB_B1,1,723,85,498,500,723.85
500,BD,BD_EB_B1,1,718,30,499,501,718.3
501,BD,BD_EB_B1,1,713,90,500,502,713.9
502,BD,BD_EB_B1,1,710,47,501,503,710.47
503,BD,BD_EB_B1,1,707,10,502,504,707.1
504,BD,BD_EB_B1,1,703,47,503,505,703.47
505,BD,BD_EB_B1,1,701,61,504,506,701.61
506,BD,BD_EB_B1,1,700,43,505,3922,700.43
3922,BD,BD_EB_B1,1,698,57,506,507,698.57
507,BD,BD_EB_B1,1,698,3,3922,508,698.03
508,BD,BD_EB_B1,1,697,3,507,509,697.03
509,BD,BD_EB_B1,1,693,73,508,510,693.73
510,BD,BD_EB_B1,1,687,33,509,842,687.33
842,BD,BD_EB_B1,1,684,9,510,511,684.09
511,BD,BD_EB_B1,1,680,87,842,512,680.87
512,BD,BD_EB_B1,1,677,37,511,513,677.37
513,BD,BD_EB_B1,1,673,93,512,514,673.93
514,BD,BD_EB_B1,1,668,53,513,515,668.53
515,BD,BD_EB_B1,1,665,2,514,516,665.02
516,BD,BD_EB_B7,1,661,58,515,1820,661.58
1820,BD,BD_EB_B7,1,659,35,516,517,659.35
517,BD,BD_EB_B7,1,657,11,1820,1839,657.11
1839,BD,BD_EB_B7,1,654,43,517,518,654.43
518,BD,BD_EB_B7,1,652,60,1839,519,652.6
519,BD,BD_EB_B7,1,647,1,518,812,647.01
812,BD,BD_EB_B7,1,642,21,519,520,642.21
520,BD,BD_EB_B7,1,640,55,812,521,640.55
521,BD,BD_EB_B2,1,637,36,520,522,637.36
522,BD,BD_EB_B2,1,631,39,521,841,631.39
841,BD,BD_EB_B2,1,628,29,522,523,628.29
523,BD,BD_EB_B2,1,625,19,841,524,625.19
524,BD,BD_EB_B2,1,619,32,523,525,619.32
525,BD,BD_EB_B2,1,615,83,524,526,615.83
526,BD,BD_EB_B2,1,612,42,525,527,612.42
527,BD,BD_EB_B2,1,607,2,526,528,607.02
528,BD,BD_EB_B2,1,603,48,527,529,603.48
529,BD,BD_EB_B2,1,599,80,528,530,599.8
530,BD,BD_EB_B2,1,595,73,529,531,595.73
531,BD,BD_EB_B2,1,593,98,530,532,593.98
532,BD,BD_EB_B2,1,588,93,531,814,588.93
814,BD,BD_EB_B2,1,586,1,532,533,586.01
533,BD,BD_EB_B2,1,583,96,814,534,583.96
534,BD,BD_EB_B2,1,580,20,533,535,580.2
535,BD,BD_EB_B2,1,574,73,534,536,574.73
536,BD,BD_EB_B2,1,571,49,535,537,571.49
537,BD,BD_EB_B2,1,568,22,536,875,568.22
875,BD,BD_EB_B2,1,565,34,537,538,565.34
538,BD,BD_EB_B2,1,562,48,875,539,562.48
539,BD,BD_EB_B2,1,557,78,538,838,557.78
838,BD,BD_EB_B2,1,554,59,539,540,554.59
