tag_id,division,sub_division,track,major,minor,next_tag_up,next_tag_down,Chainage
202,BD,BD_WB_B6,1,935,30,,203,935.3
203,BD,BD_WB_B6,1,933,94,202,204,933.94
204,BD,BD_WB_B6,1,931,99,203,205,931.99
205,BD,BD_WB_B6,1,931,44,204,1808,931.44
1808,BD,BD_WB_B6,1,929,24,205,206,929.24
206,BD,BD_WB_B6,1,925,93,1808,207,925.93
207,BD,BD_WB_B6,1,922,51,206,208,922.51
208,BD,BD_WB_B6,1,919,3,207,209,919.03
209,BD,BD_WB_B6,1,915,51,208,210,915.51
210,BD,BD_WB_B6,1,911,94,209,853,911.94
853,BD,BD_WB_B6,1,908,97,210,211,908.97
211,BD,BD_WB_B6,1,906,1,853,212,906.01
212,BD,BD_WB_B6,1,899,99,211,877,899.99
877,BD,BD_WB_B6,1,897,0,212,213,897
213,BD,BD_WB_B6,1,894,2,877,214,894.02
214,BD,BD_WB_B6,1,890,43,213,215,890.43
215,BD,BD_WB_B6,1,886,79,214,216,886.79
216,BD,BD_WB_B6,1,883,38,215,217,883.38
217,BD,BD_WB_B6,1,879,94,216,851,879.94
851,BD,BD_WB_B6,1,876,94,217,218,876.94
218,BD,BD_WB_B6,1,873,96,851,219,873.96
219,BD,BD_WB_B6,1,867,89,218,850,867.89
850,BD,BD_WB_B6,1,864,93,219,220,864.93
220,BD,BD_WB_B6,1,861,99,850,221,861.99
221,BD,BD_WB_B6,1,856,78,220,222,856.78
222,BD,BD_WB_B6,1,852,2,221,223,852.02
223,BD,BD_WB_B6,1,850,17,222,224,850.17
224,BD,BD_WB_B6,1,846,64,223,225,846.64
225,BD,BD_WB_B6,1,844,78,224,226,844.78
226,BD,BD_WB_B6,1,843,54,225,227,843.54
227,BD,BD_WB_B6,1,840,89,226,228,840.89
228,BD,BD_WB_B6,1,836,23,227,847,836.23
847,BD,BD_WB_B6,1,832,94,228,229,832.94
229,BD,BD_WB_B6,1,829,65,847,230,829.65
230,BD,BD_WB_B6,1,823,23,229,846,823.23
846,BD,BD_WB_B6,1,820,35,230,231,820.35
231,BD,BD_WB_B6,1,817,48,846,232,817.48
232,BD,BD_WB_B6,1,811,69,231,233,811.69
233,BD,BD_WB_B6,1,808,1,232,234,808.01
234,BD,BD_WB_B6,1,804,38,233,235,804.38
235,BD,BD_WB_B6,1,798,34,234,845,798.34
845,BD,BD_WB_B6,1,795,63,235,236,795.63
236,BD,BD_WB_B6,1,792,93,845,237,792.93
237,BD,BD_WB_B6,1,786,1,236,238,786.01
238,BD,BD_WB_B6,1,783,67,237,239,783.67
239,BD,BD_WB_B6,1,783,31,238,240,783.31
240,BD,BD_WB_B6,1,781,51,239,241,781.51
241,BD,BD_WB_B6,1,779,76,240,242,779.76
242,BD,BD_WB_B6,1,775,80,241,243,775.8
243,BD,BD_WB_B6,1,770,24,242,844,770.24
844,BD,BD_WB_B6,1,767,34,243,244,767.34
244,BD,BD_WB_B6,1,764,44,844,245,764.44
245,BD,BD_WB_B6,1,759,44,244,246,759.44
246,BD,BD_WB_B6,1,755,25,245,247,755.25
247,BD,BD_WB_B6,1,751,4,246,248,751.04
248,BD,BD_WB_B6,1,745,64,247,843,745.64
843,BD,BD_WB_B6,1,743,19,248,249,743.19
249,BD,BD_WB_B6,1,740,75,843,250,740.75
250,BD,BD_WB_B6,1,734,97,249,251,734.97
251,BD,BD_WB_B6,1,731,55,250,252,731.55
252,BD,BD_WB_B6,1,728,8,251,253,728.08
